52,440,4.4,307,ロールケーキプレーン(3個)
54,430,4.3,97,ロールケーキコーヒー(3個)
154,470,4.7,167,ロールケーキチョコレート(3個)
155,460,4.6,82,ロールケーキキャラメル(3個)
187,410,4.1,57,ロールケーキマロン(3個)
188,470,4.7,55,ロールケーキスイートポテト(3個)
189,430,4.3,53,ロールケーキパンプキン(3個)
190,430,4.3,121,ガトーショコラバー(4本)
191,430,4.3,95,チーズケーキバー(4本)
208,400,4,99,バターロール(4個)
210,430,4.3,143,バンズパン(4個)
211,380,3.8,1310,焼き鳥の柚子胡椒
249,400,4,135,ロールケーキ　レモン(3個)
262,400,4,20,プレーンドーナツ(3個)
263,420,4.2,31,抹茶ドーナツ(3個)
264,460,4.6,39,いちごドーナツ(3個)
265,400,4,74,チョコレートドーナツ(3個)
278,460,4.6,54,バナナドーナツ（3個）
279,450,4.5,26,キャラメルドーナツ（3個）
303,450,4.5,1429,チリハンバーグステーキ
352,390,3.9,822,鮭のマッシュポテトアヒージョ
369,420,4.2,651,クリームコロッケグラタン
400,340,3.4,209,牛肉のデミグラスソース煮
403,370,3.7,494,にんにく醤油から揚げ
409,420,4.2,430,旨だれペッパーチキン
418,410,4.1,309,海老のチリソース
423,440,4.4,187,きのことチーズのトマトハンバーグ
431,380,3.8,172,本格四川麻婆豆腐
432,400,4,158,大豆ミートソースの生パスタ
433,420,4.2,315,ハンバーグと温野菜のデミ
459,410,4.1,90,燻製チーズのカルボナーラ
462,380,3.8,186,やみつき塩から揚げ
479,450,4.5,88,糖質ハーフチョコクロ（3個）
505,410,4.1,109,油淋鶏
513,410,4.1,121,ジョニーのからあげ監修　醤油からあげ
515,380,3.8,82,ソースヒレカツ
520,310,3.1,137,ポムの樹監修オムライス
523,420,4.2,48,豚肉と野菜の和風ソース
524,400,4,95,鶏肉の照り焼き
527,450,4.5,134,半熟卵とチーズのグリルハンバーグ
531,440,4.4,95,白身魚のしょうが煮
536,430,4.3,46,豚バラねぎ塩だれ
543,360,3.6,47,道とん堀監修　ソース焼きそば
547,440,4.4,49,道とん堀監修　海鮮塩焼きそば
552,440,4.4,57,玄米ミートドリア
553,430,4.3,9,プロテインバーチョコレート（3本）
554,400,4,6,プロテインバーキャラメル（3本）
555,460,4.6,9,祇園辻利抹茶使用  抹茶ガトーショコラ(4本)
556,340,3.4,5,祇園辻利ほうじ茶使用  ほうじ茶ガトーショコラ(4本)
558,350,3.5,48,きのこクリームのフェットチーネ
560,380,3.8,35,四川風エビのピリ辛
561,450,4.5,39,とろろ豆腐のきのこあんかけ
564,420,4.2,28,海鮮豆腐
566,370,3.7,31,豚肉のから揚げシビ辛ソース
567,360,3.6,22,豚肩ロースと茄子のオイスターソース
568,390,3.9,35,ビーフケバブ
569,390,3.9,13,牛肉のエスニック炒め
571,420,4.2,20,牛肉のファヒータ
572,420,4.2,17,メープルパンケーキ
573,440,4.4,27,焼き餃子
574,420,4.2,30,トマトすき焼き
575,420,4.2,24,親子丼
576,420,4.2,20,CoCo壱番屋　ビーフカレー
577,400,4,24,CoCo壱番屋　バターチキンカレー
578,390,3.9,16,さばの柚子こしょうあん
579,460,4.6,28,フライドフィッシュ
580,350,3.5,15,汁なし担々麺
582,300,3,3,豚バラ肉のにんにくソース
583,380,3.8,11,揚げ出し豆腐の生姜醤油
584,450,4.5,6,ミネストローネ
585,320,3.2,8,蒸し鶏の葱生姜だれ
586,470,4.7,4,チキンのトマトチーズがけ
587,360,3.6,6,ロールキャベツとウインナーのポトフ
588,340,3.4,7,野菜と金目鯛のとうふ寄せ
589,400,4,3,白身魚の辛味噌だれ
591,400,4,3,痺れる旨辛よだれ鶏
592,450,4.5,2,トマトデミハンバーグ
593,0,0,0,豚バラ肉の香醋ソース
594,500,5,1,鶏と桜エビの中華粥
595,0,0,0,さわらの梅がけ
596,0,0,0,シーフードリゾット
597,0,0,0,豚バラ肉と水餃子のにんにく醤油鍋
598,0,0,0,チキンのバジルオイル焼き
599,0,0,0,さばの味噌煮
